YEAR,QUARTER,CITY,AIRLINE,PREDICTED_TRAFFIC
2015,Q1,AHMEDABAD,AIR INDIA,38754
2015,Q1,AHMEDABAD,AIR INDIA EXPRESS,14384
2015,Q1,AHMEDABAD,INDIGO,9943
2015,Q1,AHMEDABAD,JET AIRWAYS,48125
2015,Q1,AHMEDABAD,SPICEJET,6303
2015,Q1,AMRITSAR,AIR INDIA,16135
2015,Q1,AMRITSAR,AIR INDIA EXPRESS,5988
2015,Q1,AMRITSAR,INDIGO,4139
2015,Q1,AMRITSAR,JET AIRWAYS,20037
2015,Q1,AMRITSAR,SPICEJET,2624
2015,Q1,BENGALURU,AIR INDIA,104390
2015,Q1,BENGALURU,AIR INDIA EXPRESS,38746
2015,Q1,BENGALURU,INDIGO,26782
2015,Q1,BENGALURU,JET AIRWAYS,129631
2015,Q1,BENGALURU,SPICEJET,16980
2015,Q1,CHENNAI,AIR INDIA,167149
2015,Q1,CHENNAI,AIR INDIA EXPRESS,62040
2015,Q1,CHENNAI,INDIGO,42884
2015,Q1,CHENNAI,JET AIRWAYS,207565
2015,Q1,CHENNAI,SPICEJET,27188
2015,Q1,COIMBATORE,AIR INDIA,4600
2015,Q1,COIMBATORE,AIR INDIA EXPRESS,1707
2015,Q1,COIMBATORE,INDIGO,1180
2015,Q1,COIMBATORE,JET AIRWAYS,5712
2015,Q1,COIMBATORE,SPICEJET,748
2015,Q1,DELHI,AIR INDIA,522861
2015,Q1,DELHI,AIR INDIA EXPRESS,194068
2015,Q1,DELHI,INDIGO,134147
2015,Q1,DELHI,JET AIRWAYS,649286
2015,Q1,DELHI,SPICEJET,85048
2015,Q1,GAYA,AIR INDIA,4891
2015,Q1,GAYA,AIR INDIA EXPRESS,1815
2015,Q1,GAYA,INDIGO,1254
2015,Q1,GAYA,JET AIRWAYS,6074
2015,Q1,GAYA,SPICEJET,795
2015,Q1,GOA,AIR INDIA,16778
2015,Q1,GOA,AIR INDIA EXPRESS,6227
2015,Q1,GOA,INDIGO,4304
2015,Q1,GOA,JET AIRWAYS,20836
2015,Q1,GOA,SPICEJET,2729
2015,Q1,HYDERABAD,AIR INDIA,96595
2015,Q1,HYDERABAD,AIR INDIA EXPRESS,35852
2015,Q1,HYDERABAD,INDIGO,24782
2015,Q1,HYDERABAD,JET AIRWAYS,119951
2015,Q1,HYDERABAD,SPICEJET,15712
2015,Q1,JAIPUR,AIR INDIA,13968
2015,Q1,JAIPUR,AIR INDIA EXPRESS,5184
2015,Q1,JAIPUR,INDIGO,3583
2015,Q1,JAIPUR,JET AIRWAYS,17345
2015,Q1,JAIPUR,SPICEJET,2272
2015,Q1,KOCHI,AIR INDIA,128270
2015,Q1,KOCHI,AIR INDIA EXPRESS,47609
2015,Q1,KOCHI,INDIGO,32909
2015,Q1,KOCHI,JET AIRWAYS,159285
2015,Q1,KOCHI,SPICEJET,20864
2015,Q1,KOLKATA,AIR INDIA,65938
2015,Q1,KOLKATA,AIR INDIA EXPRESS,24474
